movie_id,movie_name,director,writer,stars,description,poster,year_genre,total_weighted,num_ratings
976720,Vesper,Bruno Samper,"Kristina Buožytė, Bruno Samper, Brian Clark","Raffiella Chapman, Eddie Marsan, Rosy McEwen","After the collapse of Earth's ecosystem, Vesper, a 13-year-old girl struggling to survive with her paralyzed Father, meets a mysterious Woman with a secret that forces Vesper to use her wits, strength and bio-hacking abilities to fight for the possibility of a future.",movie_posters/976720.jpg,2022 | Science Fiction/Drama/Adventure/Fantasy | 1h 52m,635.2,100
144616,Sofia the First: Once Upon a Princess,Jamie Mitchell,Craig Gerber,"Ariel Winter, Sara Ramirez, Jim Cummings","Set in the storybook world of Enchancia, the music-filled movie follows Sofia, an average girl whose life suddenly changes when her mother marries the king and she is whisked off to live in a castle with her mom, new step-father, King Roland II, and step-siblings, Amber and James. Along the way this ordinary girl learns to navigate the extraordinary life of royalty, and in the process makes everyone around her feel special.",movie_posters/144616.jpg,2012 | Animation/Family | 47m,737.1,100
1399790,Bachhala Malli,Subbu Mangadevi,"Subbu Mangadevi, Vipparthi Madhu Viswanetra, Subbu Mangadevi","Allari Naresh, Amritha Aiyer, Hari Teja","The story is set in the 1990s and follows the emotional and action-filled journey of Bachhala Malli, a rural hero. The narrative combines intense drama with romance, focusing on the protagonist’s challenges and personal growth in a rustic backdrop.",movie_posters/1399790.jpg,2024 | Action/Drama | 2h 15m,450,100
18329,Happy Together,Wong Kar-wai,"Wong Kar-wai, Manuel Puig","Tony Leung, Leslie Cheung, Chang Chen",A gay couple from Hong Kong takes a trip to Argentina in search of a new beginning but instead begins drifting even further apart.,movie_posters/18329.jpg,1997 | Drama/Romance | 1h 36m,756,100
243,High Fidelity,Stephen Frears,"Steve Pink, D.V. DeVincentis, Scott Rosenberg, John Cusack, Nick Hornby","John Cusack, Iben Hjejle, Todd Louiso","After his long-time girlfriend dumps him, a thirty-year-old record store owner seeks to understand why he is unlucky in love while recounting his ""top five breakups of all time"".",movie_posters/243.jpg,2000 | Drama/Comedy/Romance/Music | 1h 53m,711.3,100
467,The Hole,Nick Hamm,"Ben Court, Caroline Ip, Guy Burt","Thora Birch, Desmond Harrington, Keira Knightley",Four teenagers at a British private school secretly uncover and explore the depths of a sealed underground hole created decades ago as a possible bomb shelter.,movie_posters/467.jpg,2001 | Crime/Drama/Horror/Thriller | 1h 42m,620.5,100
134411,Snitch,Ric Roman Waugh,"Ric Roman Waugh, Justin Haythe","Dwayne Johnson, Barry Pepper, Susan Sarandon","Construction company owner John Matthews learns that his estranged son, Jason, has been arrested for drug trafficking. Facing an unjust prison sentence for a first time offender courtesy of mandatory minimum sentence laws, Jason has nothing to offer for leniency in good conscience. Desperately, John convinces the DEA and the opportunistic DA Joanne Keeghan to let him go undercover to help make arrests big enough to free his son in return. With the unwitting help of an ex-con employee, John enters the narcotics underworld where every move could be his last in an operation that will demand all his resources, wits and courage to survive.",movie_posters/134411.jpg,2013 | Thriller/Drama/Action | 1h 52m,610,100
1421461,Ladies & Gentlemen... 50 Years of SNL Music,Oz Rodríguez,"Questlove, Oz Rodríguez","Lorne Michaels, Jane Curtin, Conan O'Brien","Untold stories behind the culture-defining and newsmaking musical performances, sketches and cameos of the past 50 years.",movie_posters/1421461.jpg,2025 | Music/Documentary/TV Movie | 2h 8m,790,100
16690,Return to Never Land,Robin Budd,"Temple Mathews, J.M. Barrie","Harriet Owen, Blayne Weaver, Jeff Bennett","In 1940, the world is besieged by World War II. Wendy, all grown up, has two children; including Jane, who does not believe Wendy's stories about Peter Pan.",movie_posters/16690.jpg,2002 | Adventure/Fantasy/Animation/Family | 1h 12m,650,100
326423,Barbershop: The Next Cut,Malcolm D. Lee,"Kenya Barris, Mark Brown, Tracy Oliver","Ice Cube, Cedric the Entertainer, Regina Hall","To survive harsh economic times, Calvin and Angie have merged the barbershop and beauty salon into one business. The days of male bonding are gone as Eddie and the crew must now contend with sassy female co-workers and spirited clientele. As the battle of the sexes rages on, a different kind of conflict has taken over Chicago. Crime and gangs are on the rise, leaving Calvin worried about the fate of his son. Together, the friends come up with a bold plan to take back their beloved neighborhood.",movie_posters/326423.jpg,2016 | Comedy/Drama | 1h 52m,630,100
